"","x","y","spatial_cluster"
"cell94",575.700482390821,-3502.90658866242,"1"
"cell150",660.156498618424,-3421.94548827037,"1"
"cell239",796.091774415225,-2843.89922717214,"1"
"cell246",812.45377483964,-2809.28522627428,"1"
"cell247",855.923775967211,-2712.19322375581,"1"
"cell256",708.755418755114,-3015.31025958806,"1"
"cell257",825.449421782047,-3004.02425929531,"12"
"cell258",779.441420588642,-2917.89425706118,"1"
"cell259",773.717420440167,-3055.9722606428,"12"
"cell260",722.741419117898,-3083.62026135996,"1"
"cell262",719.555419035256,-2986.90625885129,"1"
"cell269",785.273420739919,-3001.16225922108,"12"
"cell270",753.143419906497,-2905.90625675023,"1"
"cell271",850.343422427773,-3028.16225992143,"12"
"cell273",840.677422177047,-2911.9542569071,"1"
"cell279",796.829421039671,-2971.30025844648,"1"
"cell281",815.83742153272,-2930.85425739735,"1"
"cell287",739.481419552118,-3035.61426011473,"1"
"cell288",730.571419321001,-2909.68625684828,"1"
"cell293",823.45142173022,-2958.28625810891,"12"
"cell294",789.971420861781,-2918.27225707099,"1"
"cell298",756.815420001745,-2957.85425809771,"1"
"cell299",748.499419786036,-2917.51625705138,"1"
"cell300",776.525420513004,-3064.39626086131,"12"
"cell302",832.955421976745,-2963.41625824198,"12"
"cell310",830.201421905309,-2901.85625664517,"1"
"cell313",824.261421751231,-2970.70625843108,"12"
"cell314",695.309418406337,-2985.98825882748,"1"
"cell318",770.357546921819,-3261.8398427777,"12"
"cell319",762.04154670611,-3261.46184276789,"12"
"cell320",755.453546535224,-3188.88584088534,"12"
"cell324",688.223544791341,-3262.2718427889,"1"
"cell326",726.779545791447,-3206.16584133357,"12"
"cell341",751.619546435773,-3219.39584167674,"12"
"cell347",839.207548707724,-3083.74783815816,"12"
"cell348",844.661548849195,-3156.64784004912,"12"
"cell352",733.421545963734,-3200.44184118509,"12"
"cell353",732.503545939922,-3163.1278402172,"12"
"cell354",726.779545791447,-3288.24044346251,"12"
"cell355",842.987548805773,-3235.59584209695,"12"
"cell357",776.999547094107,-3147.8458398208,"12"
"cell359",803.945547793061,-3260.75984274969,"12"
"cell363",805.511547833681,-3248.82584244013,"12"
"cell365",761.879546701908,-3121.00783912465,"12"
"cell366",798.923547662795,-3141.90583966672,"12"
"cell367",727.643545813859,-3227.06384187564,"12"
"cell368",703.559545189142,-3208.00184138119,"12"
"cell372",766.847546830773,-3226.19984185323,"12"
"cell378",832.83554854244,-3282.19784330577,"12"
"cell380",806.537547860295,-3237.70184215158,"12"
"cell383",680.771544598043,-3244.45184232667,"1"
"cell384",728.129545826465,-3122.89783917367,"12"
"cell385",676.610277015716,-3447.88279355317,"12"
"cell386",747.080278843641,-3334.48279061168,"12"
"cell397",693.944277465343,-3459.87079386413,"12"
"cell399",785.744279846549,-3450.69079362601,"12"
"cell400",739.304278641939,-3404.73679243401,"12"
"cell401",703.826277721673,-3445.02079347894,"12"
"cell403",739.412278644741,-3291.82278950512,"12"
"cell404",759.1762791574,-3333.61879058927,"12"
"cell406",756.422279085964,-3457.8727938123,"12"
"cell407",716.894278060645,-3365.20879140869,"12"
"cell408",843.632281348109,-3336.75079067051,"12"
"cell410",686.438277270645,-3369.15079151094,"12"
"cell412",836.07228115201,-3357.64879121259,"12"
"cell413",695.94227751717,-3338.37079071254,"12"
"cell414",715.598278027028,-3306.34878988191,"12"
"cell415",796.652280129492,-3479.25679436699,"12"
"cell420",704.528277739882,-3358.6207912378,"12"
"cell422",820.304280743003,-3422.98879290745,"12"
"cell423",836.126281153411,-3403.44079240039,"12"
"cell424",754.370279032737,-3295.17078959197,"12"
"cell429",721.052278168499,-3330.00079049543,"12"
"cell430",798.00228016451,-3425.47279297188,"12"
"cell431",736.010278556496,-3320.01079023629,"12"
"cell433",811.178280506283,-3380.86879181489,"12"
"cell437",741.086278688163,-3457.00879378989,"12"
"cell438",754.856279045343,-3366.4507914409,"12"
"cell439",789.578279945999,-3444.37279346213,"12"
"cell442",685.30427724123,-3316.93279015645,"1"
"cell444",729.746278394014,-3415.26679270715,"12"
"cell445",704.744277745485,-3372.33679159358,"12"
"cell447",825.110280867666,-3324.43879035115,"12"
